default,Identifier,Remarks,hu,it,es esm
DUAL MINIGUNS,WPN_MITRAGLIONE_DUAL,,MITRAGLIONI DOPPI,MITRAGLIONI DOPPI,doble pistole de cadena
MINIGUN,WPN_MITRAGLIONE,,MITRAGLIONE,MITRAGLIONE,pistola de cadena
MP5 AKIMBO,WPN_MP5CARABINIERI_DUAL,,DU MITRA CARABINIERI,DU MITRA CARABINIERI,doble ametralladora carambas
MP5,WPN_MP5CARABINIERI,,MITRA CARABINIERI,MITRA DEI CARABINIERI,ametralladora carambas
HEROIN,WPN_PERA,,PERA,EGOREX,heroína
FISH,WPN_PESCENFACCIA,,PESCENFACCIA,PESCE IN FACCIA,PEZ
HAM,WPN_PREGIUTTO,,PREGIUTTO,PROSCIUTTO CRUDO,JAMON
OLD-ASS MACHINEGUN,WPN_RPD_DUAL,,DU MITRA GROSSI,DOPPIA MITRAGLIATRICE,ametralladora doble
DOUBLE MACHINEGUNS,WPN_RPD,,MITRA GROSSO,MITRAGLIATRICE,ametralladora
DOUBLE HUGEASS RPG,WPN_RPGCOMMANDO_DUAL,,LANCIAMISSILI DOPPIO,LANCIAMISSILI DOPPIO,lanzamisiles doble
HUGEASS RPG,WPN_RPGCOMMANDO,,LANCIAMISSILI,LANCIAMISSILI,lanzamisiles
DOUBLE WEAKASS PISTOLS,WPN_SCACCIACANI_DUAL,,SCACCIACANI DOPPIA,SCACCIACANI DOPPIA,doble ahuyentar perros
WEAKASS PISTOL,WPN_SCACCIACANI,,SCACCIACANI,SCACCIACANI,ahuyentar perros
MAXI_EXPLODER GATLING SHOTGUN 3000,WPN_SCHIOPPATORE_MAXI,,SCHIOPPATORE MAXI 3000,SCHIOPPATORE MAXI 3000,SCHIOPPADOR MAXI 3000
DOUBLE FUTURE'S RIFLE,WPN_SNIPERDELFUTURO_DUAL,,FUCILE DEL FUTURO DOPPIO,FUCILE DEL FUTURO DOPPIO,rifle del futuro doble
FUTURE'S RIFLE,WPN_SNIPERDELFUTURO,,FUCILE DEL FUTURO,FUCILE DEL FUTURO,rifle del futuro
TOOTHPICK LAUNCHER,WPN_SPARASTUZZICADENTI,,SPARA STUZZICADENTI,SPARA STUZZICADENTI,LANZAPALILLO
DUAL TOOTHPICK LAUNCHER,WPN_SPARASTUZZICADENTI_DUAL,,SPARA STUZZICADENTI DOPPIO,SPARA STUZZICADENTI DOPPIO,DOBLE LANZAPALILLO
JURASSIC PARK'S SHOTGUN,WPN_SPAS12,,FUCILE DE JURASSIC PARK,FUCILE DI JURASSIC PARK,ESCOPETA JURASSIC PARK
SUPER MIGHTY PUNCHES,WPN_SUPERCAZZOTTIVERI,,SUPER BOTTE E CAZZOTTI,SUPER BOTTE E CAZZOTTI,SUPER PALIZA
PRIESTS-SMASHER,WPN_TONFAPRETI,,TONFAPRETI,TONFAPRETI,golpearsacerdotes
RUSTY SHOTGUN,WPN_TOZ34_DUAL,,DU FUCILI AMARRETI,DOPPIO CANNE MOZZE,DOBLE ESCOPETA
DOUBLE RUSTY SHOTGUN,WPN_TOZ34,,FUCILE AMARRETO,CANNE MOZZE,ESCOPETA
DOUBLE UZIS,WPN_UZIMINI_DUAL,,MITRAGLIETTINE,DOPPIO UZI,doble ametralladora
UZI,WPN_UZIMINI,,MITRAGLIETTINA,UZI,ametralladora
HOLY PUMP SHOTGUN,WPN_WINCHESTER1300,,SCHIOPPO SANTO,FUCILE A POMPA SACRO,ESCOPETA SAGRADA
LOUIS WITTON LIMITED EDITION SHOTGUN,WPN_WINCHESTERNORMALE,,SCHIOPPO DE MARCA,FUCILE A POMPA LOUIS WITTON,ESCOPETA LOUIS WITTON
,,,,,
PISTOL,WPN_1911,,RIVOLTELLA,PISTOLA,PISTOLA
DOUBLE PISTOL,WPN_1911_DUAL,,DU RIVOLTELLE,DOPPIA PISTOLA,PISTOLA DUABLA
CHINESE SWORD,WPN_KATANA,,SPADA CINESE,SPADA CINESE,ESPADA CHINA
BIG KNIFE,WPN_MACHETE,,CORTELLONE,MACHETE,CUCHILLO GRANDE
TENNENTS BEER,WPN_TENNENTS,,BIRRA TENNENTS,BIRRA TENNENTS,TENNENT'S CERVEZA
RAPTOR LAUNCHER,WPN_YEELAUNCHER,,LANCIARAPTOR,LANCIARAPTOR,LANZARAPTOR
,,,,,
,,,,,
,,,,,
MOUSE,MOUSE_TITLE,,MAUS,MOUSE,MOUSE
MOVEMENT,MOVEMENT_TITLE,,MOVIMENTO,MOVIMENTO,MOVIMIENTO
FREE CAMERA,MNU_FREECAM,,TELECAMERA PE I CAZZI SUI,TELECAMERA LIBERA,CAMARA VOLANTE
,,,,,
THE GRAPHICS,MNU_VID_TITLE,,LA GRAFICA,LA GRAFICA,OPCIONES DE VIDEO
MONITOR,MNU_SCR_TITLE,,SCHERMO,SCHERMO ZOZZO,PANTALLA
FPS COUNTER,MNU_FPSCOUNTER,,CONTAGIRI,CONTATORE FPS,CONTADOR DE FPS
GRAPHICAL BULLSHITS,MNU_MAIALATE_TITLE,,MAIALATE GRAFICHE,MAIALATE GRAFICHE,CERDOS GRAFICOS
RENDERING,MNU_API_BACKEND,,COMPUTATORE,RENDERING,RENDERING
LENS FLARES,MNU_LENSFLARES,,FANALI SBRILLUCCICANTI,LENS FLARES,LENS FLARES
FILMIC TONEMAP,MNU_TONEMAP,,MODALITA' FILM BULO,FILMIC TONEMAP,FILMIC TONEMAP
FILM GRAIN,MNU_FILMGRAIN,,ZOZZO DELLA TV TA LO SCHERMO,GRANA PELLICOLA,GRANO DE PELICULA
LUMA SHARPEN,MNU_LUMASHARPEN,,NITIDEZZA,NITIDEZZA,Luma sharpen
SCREEN DIRT,MNU_SCRDIRT,,ZOZZO TA LO SCHERMO,SCHERMO ZOZZO,Screen Dirt
MEGASHARPEN,MNU_MEGASHARPEN,,MEGANITIDEZZA,MEGANITIDEZZA,MEGASHARPEN
ABERRATIC CHROMATION,MNU_ABCROM,,CROMERRAZIONE ABERRATICA,CROMERRAZIONE ABERRANTE,aberración cromática
TV MODE,MNU_ITALIA7,,GREZZODUE 2 REGISTRATO SU ITALIA7 LA NOTTE,GREZZODUE 2 REGISTRATO SU ITALIA7 LA NOTTE,TV MODE
RETROMODE,MNU_PIXELIZATION,,GRAFICA BRUTTA TIPO:,MODALITA' RETRO,RETROMODE
POSTERIZATION,MNU_POSTERIZATION,,PASTORIZZAZIONE,POSTERIZZAZIONE,posterización
,,,,,
TEXTURES,MNU_TEXTURES_TITLE,,TEXTURES,TEXTURES,TEXTURES
PERFORMANCES,MNU_PERFORMANCE_TITLE,,PRESTAZIONI,PRESTAZIONI,ACTUACION
CLEAR GORE (in seconds),MNU_CLEARGOREDELAY,,DURATA PEZZETTONI PER TERRA,DURATA PEZZETTONI PER TERRA,DURACIÓN DE LAS PIEZAS EN EL SUELO
,,,,,
ENABLE SMALL SPLASH PARTICLES,MNU_ENABLE_SSP,,SCHIZZI D'ACQUA CININI,ATTIVA SCHIZZI D'ACQUA PICCOLI,
ENABLE LARGE SPLASH PARTICLES,MNU_ENABLE_LSP,,SCHIZZI D'ACQUA GROSSI,ATTIVA SCHIZZI D'ACQUA GROSSI,
,,,,,
FLASHLIGHT INTENSITY,MNU_INT_TORCIA,,QUANTO FUNZIONA BENE LA TU' LUCE,INTENSITA' DELLA TORCIA,INTENSIDAD DE LA ANTORCHA
,,,,,
GAME BOY,MNU_PIXELOPTION_LOW,,GAME BOY,GAME BOY,GAME BOY
SUPER NINTENDO,MNU_PIXELOPTION_VAN,,SUPER NINTENDO,SUPER NINTENDO,SUPER NINTENDO
SEGA MEGADRIVE,MNU_PIXELOPTION_WIND,,SEGA MEGADRIVE,SEGA MEGADRIVE,SEGA MEGADRIVE
WINDOWS 97,MNU_PIXELOPTION_95,,WINDOWS 97,WINDOWS 97,WINDOWS 97
PLAYSTATION 1,MNU_PIXELOPTION_HIGH,,PLAYSTATION 1,PLAYSTATION 1,PLAYSTATION 1
,,,,,
HARDNESS,MNU_SKILLOPTS_TITLE,,DIFFICOLTA',DIFFICOLTA',DIFICULTAD
ENABLE PLAYER DAMAGE MODIFIERS,MNU_SKILLOPTS_MODENABLE,,ATTIVA MODIFICATORI DANNI,ATTIVA MODIFICATORI DANNI,ACTIVAR MODIFICADORES DE DAÑO
PLAYER DAMAGE DEALT MULTIPLIER,MNU_SKILLOPTS_DAMDEALTM,,DANNI INFLITTI,DANNI INFLITTI,DAÑO INCIDENTE
PLAYER DAMAGE RECEIVED MULTIPLIER,MNU_SKILLOPTS_DAMRECVM,,DANNI SUBITI,DANNI SUBITI,DAÑOS SUFRIDOS
MONSTER HEALTH MULTIPLIER,MNU_SKILLOPTS_MONHEALTHMUL,,SALUTE NEMICI,SALUTE NEMICI,SALUD ENEMIGOS
MONSTER DAMAGE MULTIPLIER,MNU_SKILLOPTS_MONDAMMUL,,DANNI DEI NEMICI,DANNI DEI NEMICI,DAÑO ENEMIGO
MONSTER SPEED MULTIPLIER,MNU_SKILLOPTS_MONSPDMUL,,VELOCITA' DEI NEMICI,VELOCITA' DEI NEMICI,VELOCIDAD DEL ENEMIGO
MONSTER SIZE MULTIPLIER,MNU_SKILLOPTS_MONSIZEMUL,,DIMENSIONE NEMICI,DIMENSIONE NEMICI,DIMENCIONE ENEMIGOS
MONSTER PORJECTILE VELOCITY MULTIPLIER,MNU_SKILLOPTS_MONPROJVELMUL,,VELOCITA' PROIETTILI NEMICI,VELOCITA' PROIETTILI NEMICI,VELOCIDAD DEL PROYECTIL ENEMIGOS
,,,,,
AMMO PICKUP AMOUNT MULTIPLIER,MNU_SKILLOPTS_AMMOAMOUNT,,QUANTI COLPI TROVI IN GIRO,QUANTITA' MUNIZIONI IN GIRO,CANTIDAD DE MUNICIÓN ALREDEDOR
HEALTH PICKUP AMOUNT MULTIPLIER,MNU_SKILLOPTS_HEALTHAMOUNT,,QUANTE MEDICINE TROVI PER TERRA,QUANTITA' SALUTE IN GIRO,CANTIDAD DE SALUD ALREDEDOR
,,,,,
CHEATS,MNU_CHEATS_TITLE,,TRUCCHI,TRUCCHI,ENGAÑOS
EXIT TO NEXT MAP,MNU_CHEATS_NEXTMAP,,SCAPPA ALLA MAPPA DOPO,CONCLUDI LIVELLO,NIVEL COMPLETO
RESTART CURRENT MAP,MNU_CHEATS_RESTARTMAP,,ARCOMINCIA L LIVELLO,RICOMINCIA LIVELLO,NIVEL DE REINICIO
,,,,,
,,,,,
MELEE ATTACK,BTN_SACCAGNATA,,CORTELLETA,SACCAGNATA,APUNALADO
GRENADE,BTN_SUPPLIZIO,,TIRA N SUPPLIZIO,TIRA SUPPLIZIO,GRANADA
FUCK OFF,BTN_VAFFANCULO,,MANDA AFFANCULO LA GENTE,MANDA AFFANCULO LA GENTE,MANDA A TOMAR POR CULO
,,,,,
HORIZONTAL SENSITIVITY,MOUSEMNU_SENSITIVITY_X,,SENSIBILITA' ORIZZONTALE,EMOTIVITA' ORIZZONTALE,SENSIBILIDAD ORIZONTAL
VERTICAL SENSITIVITY,MOUSEMNU_SENSITIVITY_Y,,SENSIBILITA' VERTICALE,EMOTIVITA' VERTICALE,SENSIBILIDAD VERTICAL
INVERT MOUSE,MOUSEMNU_INVERTMOUSE,,MAUS AL CONTRARIO,MOUSE INVERTITO,MOUSE INVERTIDO
,,,,,
MOVE FORWARD,CNTRLMNU_FORWARD,,VAI T'LI',MUOVITI AVANTI,Avanzar
MOVE BACKWARD,CNTRLMNU_BACK,,CAMINA AL INDIETRO,MUOVITI INDIETRO,Retroceder
STRAFE LEFT,CNTRLMNU_MOVELEFT,,CAMINA DE LA',A SINISTRA,Moverse a la izquierda
STRAFE RIGHT,CNTRLMNU_MOVERIGHT,,CAMINA DE QUA',A DESTRA,Moverse a la derecha
JUMP,CNTRLMNU_JUMP,,ZOMPA,SALTA,Saltar
CROUCH,CNTRLMNU_CROUCH,,ACUCCETE,CAMMINA ACCUCIATO,Agacharse
CROUCH TOGGLE,CNTRLMNU_TOGGLECROUCH,,CULO PER TERRA SI/NO,ACCUCCIATI SI/NO,Alternar agachado
RUN,CNTRLMNU_RUN,,FUGGE,CORRI,Correr
TOGGLE RUN,CNTRLMNU_TOGGLERUN,,FUGGE PER SEMPRE,ATTIVA CORSA,Alternar «Correr»
,,,,,
ACTION,CNTRLMNU_ACTION,,COMANDI AZIONI,COMANDI AZIONI,Acción
SHOOT,CNTRLMNU_ATTACK,,SPARA,SPARA,Fuego
SHOOT AGAIN,CNTRLMNU_ALTATTACK,,SPARA ANCORA,SPARA ANCORA,Fuego secundario
USE / INTERACT,CNTRLMNU_USE,,EPRE,USA/APRI,Usar/Abrir
,,,,,
ACTIVATE ITEM,CNTRLMNU_USEITEM,,ACENDE LA RADIO,ACCENDI LA RADIO,Activar objeto
WEAPON WHEEL,CNTRLMNU_WEAPWHEEL,,ROTA DE LE ARMI,RUOTA DELLE ARMI,RUEDA DE ARMAS
FLASHLIGHT,CNTRLMNU_TORCIA,,LUCE,TORCIA,ANTORCHA
"UGLY ""MATRIX"" EFFECT",CNTRLMNU_SLOMO,,"EFFETTACCIO BRUTTO TIPO ""MATRIX""","EFFETTO ""MATRIX"" BRUTTO","EFECTO ""MATRIX"" FEO"
,,,,,
WEAPONS,CNTRLMNU_WEAPONS,,ARMI,ARMI,Armas
NEXT WEAPON,CNTRLMNU_NEXTWEAPON,,ARMA DOPO,ARMA DOPO,Arma siguiente
PREVIOUS WEAPON,CNTRLMNU_PREVIOUSWEAPON,,ARMA PRIMA,ARMA PRIMA,Arma anterior
MELEE,CNTRLMNU_SLOT1,,"CAZZOTTI, SPADE E CORTELLI","CAZZOTTI, SPADE E COLTELLI",Melee
PISTOLS,CNTRLMNU_SLOT2,,RIVOLTELLE,PISTOLE,Pistols
SHOTGUNS,CNTRLMNU_SLOT3,,SCHIOPPI,FUCILI,Shotguns
MACHINE GUNS,CNTRLMNU_SLOT4,,MITRA,MITRA,Machine Guns
ROCKETS,CNTRLMNU_SLOT5,,MISSILI,MISSILI,Rockets
LASERS,CNTRLMNU_SLOT6,,LASER,ARMI LASER,Lasers
BIG GUNS,CNTRLMNU_SLOT7,,ARMONE GROSSE,ARMONE GROSSE,Big guns
DRUGS,CNTRLMNU_SLOT8,,DROGA,DROGA,Drugs
,,,,,
OTHER STUFF,CNTRLMNU_OTHER,,ALTRA ROBA,ALTRA ROBA,Otros
TAKE A SCREENSHOT,CNTRLMNU_SCREENSHOT,,SCREENSHOT,CATTURA SCRENSHOT,Captura de pantalla
OPEN CONSOLE,CNTRLMNU_CONSOLE,,EPRE LA CONSOL,APRI LA CONSOLE,Abrir consola
PAUSE BUTTON,CNTRLMNU_PAUSE,,FERMA L GIOCO,TASTO DI PAUSA,Pausa
,,,,,
READ HELP SECTION,CNTRLMNU_OPEN_HELP,,GUARDA TA LE ISTRUZIONI,LEGGI ISTRUZIONI,Abrir ayuda
SAVE MENU,CNTRLMNU_OPEN_SAVE,,EPRE L MENU DE SALVATAGGIO,MENU SALVATAGGIO,Menú de guardar partida
LOAD MENU,CNTRLMNU_OPEN_LOAD,,EPRE L MENU DE CARICAGGIO,MENU CARICAGGIO,Menú de cargar partida
FULL OPTIONS MENU,CNTRLMNU_OPEN_OPTIONS,,EPRE TUTTE LE OPZIONI,MENU OPZIONI COMPLETO,Menú de opciones
DISPLAY MENU,CNTRLMNU_OPEN_DISPLAY,,EPRE LE MAIALETE GRAFICHE,APRI MENU GRAFICA,Menú de opciones de visualización
QUICKSAVE,CNTRLMNU_QUICKSAVE,,SALVA ADE',SALVATAGGIO VELOCE,Guardado rápido
QUICKLOAD,CNTRLMNU_QUICKLOAD,,"ARCARCA, L VE'",CARICAMENTO LENTO,Cargado rápido
EXIT TO MAIN MENU,CNTRLMNU_EXIT_TO_MAIN,,ARVA' AL MENU DE L INIZIO,TORNA AL MENU PRINCIPALE,Salir al menú principal
QUIT GAME,CNTRLMNU_MENU_QUIT,,ARVAI A CASA TUA,ESCI DAL GIOCO,Salir del juego
,,,,,
LANGUAGE,OPTMNU_LANGUAGE,,LINGUA DE LE SCRITTE,LINGUAGGIO,Idioma
,,,,,
BRIGHTNESS,DSPLYMNU_BRIGHTNESS,,LUMINOSITA',LUMINOSITA',Brillo
GAMMA,DSPLYMNU_GAMMA,,CORREZIONE GAMMA,CORREZIONE GAMMA,Corrección gamma
CONTRAST,DSPLYMNU_CONTRAST,,CONTRASTO,CONTRASTO,Contraste
SATURATION,DSPLYMNU_SATURATION,,COLORI,COLORI,Saturación
,,,,,
FIELD OF VIEW,DSPLYMNU_FOV,,ALARGA LA VISTA,CAMPO VISIVO,Campo de visión
SCALE FACTOR,VIDMNU_SCALEFACTOR,,SCALA,FATTORE DI SCALA,Factor de escala
CUSTOM WIDHT,VIDMNU_CUSTOMX,,Lunghezza,LUNGHEZZA,Ancho personalizado
CUSTOM HEIGHT,VIDMNU_CUSTOMY,,Altezza,ALTEZZA,Alto personalizado
Apply Changes (Windowed),VIDMNU_APPLYW,,APPLICA (TA LA FINESTRA),APPLICA MODIFICHE (In Finestra),Aplicar cambios (Ventana)
Apply Changes (Fullscreen),VIDMNU_APPLYFS,,APPLICA (A SCHERMO PIENO),APPLICA MODIFICHE (Schermo Intero),Aplicar cambios (Pant. completa)
CHOOSE RESOLUTION PRESET,VIDMNU_RESPRESET,,SCEGLIE LA RISOLUZIONE,SCEGLI PRESET DI RISOLUZIONE,Elegir resolución predefinida
,,,,,
FULLSCREEN,VIDMNU_FULLSCREEN,,SCHERMO GROSSO,SCHERMO INTERO,Pantalla completa
VSYNC,DSPLYMNU_VSYNC,,SINCRONIA VERTIANALE,SINCRONIA VERTIANALE,Sincronización vertical
,,,,,
MAX FPS,VIDMNU_MAXFPS,,GIRI MASSIMI,FPS MASSIMI,Límite de FPS
FXAA QUALITY,GLPREFMNU_FXAA,,FXAA,FXAA,Calidad FXAA
MULTISAMPLE,GLPREFMNU_MULTISAMPLE,,MULTISAMPLE,ANTIALIASING,Multisampling
BLOOM,GLPREFMNU_BLOOM,,BAGLIORI,BLOOM,Efecto Bloom
RENDERING QUALITY,GLPREFMNU_RENDERQUALITY,,QUALITA' DE LA GRAFICA,QUALITA' DEL RENDERER,Calidad de Renderizado
FOG MODE,GLPREFMNU_FOGMODE,,COME VUOI LA NEBBIA,TIPO DI NEBBIA,Modo de niebla
TEXTURE FILTER MODE,GLTEXMNU_TEXFILTER,,FILTRO DE LE TEXTURES,MODALITA' FILTRO TEXTURES,Modo de filtro de texturas
ANISOTROPIC FILTER,GLTEXMNU_ANISOTROPIC,,FILTRO ANISOSTRONZO,FILTRO ANISOSTRONZO,Filtro anisotrópico
,,,,,
LIGHTS,GLLIGHTMNU_TITLE,,ROBA CHE TE FA' SCHIOPPA' PER ARIA L COMPIUTER,LUCI E OMBRE,Luces dinámicas
DYNAMIC LIGHTS,GLLIGHTMNU_LIGHTSENABLED,,LUCI BULE,LUCI DINAMICHE,Luces dinámicas (Hardware)
LIGHT SHADOWMAP,GLLIGHTMNU_LIGHTSHADOWMAP,,OMBRE BULE,OMBRE PROIETTATE,Mapeo de sombra de luz
SHADOWMAP QUALITY,GLLIGHTMNU_LIGHTSHADOWMAPQUALITY,,QUALITA' OMBRE BULE,QUALITA' OMBRE PROIETTATE,Calidad de mapeo de sombras
SHADOWMAP FILTER,GLLIGHTMNU_LIGHTSHADOWMAPFILTER,,FILTRO OMBRE BULE,FILTRO OMBRE PROIETTATE,Filtro de mapeo de sombras
,,,,,
SPRITE SHADOWS,DSPLYMNU_SPRITESHADOW,,OMBRE PROIETTATE,OMBRE PROIETTATE,Sombras de «sprites»
NUMBER OF PARTICLES,DSPLYMNU_MAXPARTICLES,,QUANTITA' PEZZETTINI,QUANTITA' PARTICELLE,Número de partículas
NUMBER OF DECALS,DSPLYMNU_MAXDECALS,,QUANTITA' SCHIZZI TA I MURI,QUANTITA' DECALCOMANIE,Número de calcomanías
SPRITES RENDERING DISTANCE,DSPLYMNU_SPRITECULL,,DISTANZA OMINI,DISTANZA RENDERING NEMICI E OGGETTI,Sprite Cull Distance
WALL RENDERING DISTANCE,DSPLYMNU_LINECULL,,DISTANZA MURI,DISTANZA RENDERING GEOMETRIA,Wall Cull Distance
Disable Render Culling,DSPLYMNU_DISABLERENDERCULL,,DISABILITA OTTIMIZZAZIONI DISTANTI,Disabilita Ottimizzazioni Rendering,Disable Render Culling
,,,,,
SOUND OPTIONS,OPTMNU_SOUND,,OPZIONI SONI,OPZIONI SUONI,Opciones de sonido
MASTER VOLUME,MODMNU_MASTERVOLUME,,VOLUME GENERALE,VOLUME GENERALE,Volumen maestro
SOUNDS VOLUME,SNDMNU_SFXVOLUME,,VOLUME SONI SPARI E CASINO,SUONI,Volumen de sonido
MENU VOLUME,SNDMNU_MENUVOLUME,,VOLUME DEL MENU,MENU,Volumen del menú
MUSIC VOLUME,SNDMNU_MUSICVOLUME,,VOLUME DE LE CANZONI,MUSICA,Volumen de la música
PLAYBACK DEVICE,OPENALMNU_PLAYBACKDEVICE,,DOVE VOI SENTI' LA MUSICA E I SONI,DISPOSITIVO RIPRODUZIONE,Dispositivo de reproducción
RESTART SOUND,SNDMNU_RESTART,,FA RIPARTI LA MUSICA E I SONI,RESETTA TUTTO L'AUDIO,Reiniciar sonido
,,,,,
CHANGE CROSSHAIR,HUDMNU_CROSSHAIR,,MIRINO,MIRINO,Retícula por defecto
,,,,,
GAMEPLAY,GAMEMNU_TITLE,,GAMEPLAY,GAMEPLAY,
,,,,,
,,,,,
,,,,,
,,,,,
THIS GAME IS INTENDED\nFOR MATURE AUDIENCES\nONLY.,INTRO_DEST,,QUESTO  GIOCO  E' DESTINATO\nAD  UN  PUBBLICO  ADULTO\nE  RESPONSABILE.,QUESTO  GIOCO  E' DESTINATO\nAD  UN  PUBBLICO  ADULTO\nE  RESPONSABILE.,ESTE JUEGO ESTÁ DESTINADO\nA  UN  PÚBLICO  ADULTO\nY  RESPONSABLE.
\cgPRODUCED BY\n\cfGIOCHI PENOSI,INTRO_PRODBY,,\cgUNA PRODUZIONE\n\cfGIOCHI PENOSI,\cgUNA PRODUZIONE\n\cfGIOCHI PENOSI,\cgUNA PRODUCCIÓN\n\cfGIOCHI PENOSI
\cgA GAME BY:\n\cfNICOLA PIRO\n\cfALESSANDRO CARDINALI\n\cfRICK DOPE\n\cfMAURIZIO DI MAMBRO\n\cfGIALLO GIUMAN,INTRO_GAMEBY,,\cgUN GIOCO DI:\n\cfNICOLA PIRO\n\cfALESSANDRO CARDINALI\n\cfRICK DOPE\n\cfMAURIZIO DI MAMBRO\n\cfGIALLO GIUMAN,\cgUN GIOCO DI:\n\cfNICOLA PIRO\n\cfALESSANDRO CARDINALI\n\cfRICK DOPE\n\cfMAURIZIO DI MAMBRO\n\cfGIALLO GIUMAN,\cgUN JUEGO DE:\n\cfNICOLA PIRO\n\cfALESSANDRO CARDINALI\n\cfRICK DOPE\n\cfMAURIZIO DI MAMBRO\n\cfGIALLO GIUMAN
\cmENGLISH TRANSLATION BY:\n\ccGIALLO GIUMAN\n\n\cmSPANISH TRANSLATION BY:\n\ccCRISTIAN LANZONI\n,INTRO_LANG,,\cmTRADUZIONE INGLESE:\n\ccGIALLO GIUMAN\n\n\cmTRADUZIONE SPAGNOLA:\n\ccCRISTIAN LANZONI\n,\cmTRADUZIONE INGLESE:\n\ccGIALLO GIUMAN\n\n\cmTRADUZIONE SPAGNOLA:\n\ccCRISTIAN LANZONI\n,
PRESS SOMETHING,INTRO_PRESS,,PIGIA QUALCOSA,PREMI QUALCOSA,PRESIONA ALGO
CHANGE LANGUAGE IN THE GRAPHICS OPTIONS,INTRO_CHANGE,,CAMBIA LINGUA TA LE OPZIONI,CAMBIA LINGUA NELLE OPZIONI,CAMBIA IDIOMA EN LAS OPCIONES
,,,,,
Press a key.,PRESSKEY,,pigia n botone,Premi un tasto.,Presiona una tecla.
,,,,,
"Useless mode ON.
",D_DEVSTR,,"Modalità inutile ATTIVATA.
","Modalità inutile ATTIVATA.
","Modo inútil ACTIVADO.
"
"Are you sure you want to
quit this great game?",QUITMSG,,se' sicuro de volette cava' così adesso?,"Sei sicuro di volere uscire
da questo grandioso gioco?","¿Estás segur@[ao_esp] de que
deseas salir de este juegazo?"
"You can't do load while in a net game!

Press a key.",LOADNET,,"Non puoi cariche' na partita se stai a gioca' su Internet!

Pigia n botone a cazzo.","Non puoi caricare una partita durante una partita in rete!

Premi un tasto.","¡No puedes cargar una partida mientras juegas en línea!

Presiona una tecla."
